name,power,power_percent_bonus,attraction_percent_bonus,luck,cheese_effect,consumption_upon
Rotten Charm,160,1,0,0,Stale,Stale Cheese or Encounter
Safeguard Charm,0,0,0,0,No Effect,Always
Scholar Charm,0,0,0,0,No Effect,Custom
Scientist's Charm,100,0,0,0,No Effect,Encounter
Searcher Charm,0,0,0,0,No Effect,Successful Catch
Shadow Charm,0,0,0,0,No Effect,Always
Shamrock Charm,0,0,0,3,No Effect,Encounter
Shattering Charm,0,0,0,0,No Effect,Custom
Sheriff's Badge Charm,0,0,0,0,No Effect,Custom
Shielding Charm,0,0,0,0,No Effect,Failure to Catch
Shine Charm,0,0,0,0,No Effect,Successful Catch
Shortcut Charm,0,0,0,0,No Effect,Always
Small Power Charm,60,0,0,0,No Effect,Encounter
Smart Water Jet Charm,0,0,0,0,No Effect,Successful Catch
Snakebite Charm,0,0,0,0,No Effect,Successful Catch
Snowball Charm,100,1,1,2,No Effect,Always
Soap Charm,10,10,0,0,No Effect,Encounter
Softserve Charm,100,0,0,0,No Effect,Always
Spellbook Charm,0,0,0,0,No Effect,Encounter
Spiked Anchor Charm,900,12,0,0,Very Stale,Encounter
Sponge Charm,0,0,0,0,No Effect,Successful Catch
Spooky Charm,100,1,1,2,No Effect,Encounter
Spore Charm,700,6,6,4,Stale,Encounter
Sprinkly Sweet Cupcake Charm,0,0,9,9,Fresh,Always
Stagnant Charm,250,0,5,2,No Effect,Encounter
Stalemate Charm,0,0,0,0,No Effect,Custom
Sticky Charm,150,0,0,0,No Effect,Encounter
Striker Charm,0,0,0,1,No Effect,Encounter
Super Ancient Charm,700,6,6,6,Extremely Fresh,Always
Super Attraction Charm,0,0,20,0,No Effect,Encounter
Super Brain Charm,100,10,10,1,Insanely Fresh,Always
Super Cactus Charm,500,3,5,3,Stale,Always
Super Dragonbane Charm,0,0,0,0,No Effect,Custom
Super Enerchi Charm,500,5,0,0,Fresh,Always
Super Lantern Oil Charm,300,5,5,3,Very Fresh,Always
Super Luck Charm,0,0,0,3,No Effect,Encounter
Super Lucky Power Charm,750,8,0,5,No Effect,Encounter
Super Nightshade Farming Charm,300,3,2,1,Fresh,Always
Super Party Charm,0,6,0,6,No Effect,Encounter
Super Polluted Charm,0,0,0,0,No Effect,Encounter
Super Power Charm,360,3,0,0,No Effect,Encounter
Super Queso Pump Charm,50,5,5,5,Very Fresh,Always
Super Regal Charm,1500,0,50,7,No Effect,Encounter
Super Rotten Charm,200,2,0,0,Insanely Stale,Stale Cheese or Encounter
Super Salt Charm,0,0,0,0,No Effect,Successful Catch
Super Snowball Charm,200,2,2,4,No Effect,Always
Super Soap Charm,25,10,0,0,No Effect,Encounter
Super Spooky Charm,200,2,2,4,No Effect,Encounter
Super Spore Charm,800,7,7,5,Very Stale,Encounter
Super Warpath Archer Charm,0,0,0,0,No Effect,Custom
Super Warpath Cavalry Charm,0,0,0,0,No Effect,Custom
Super Warpath Commander's Charm,0,0,0,0,No Effect,Custom
Super Warpath Mage Charm,0,0,0,0,No Effect,Custom
Super Warpath Scout Charm,0,0,0,0,No Effect,Custom
Super Warpath Warrior Charm,0,0,0,0,No Effect,Custom
Super Wax Charm,250,0,0,0,No Effect,Encounter
Super Wealth Charm,0,0,0,0,No Effect,Successful Catch
Supply Schedule Charm,0,3,0,5,Fresh,Encounter
Tarnished Charm,0,0,0,0,Uber Stale,Successful Catch
Taunting Charm,0,0,0,0,No Effect,Custom
Timesplit Charm,3000,25,20,18,Uber Stale,Encounter
Torch Charm,120,1,0,3,No Effect,Always
Treasure Trawling Charm,0,0,0,0,No Effect,Custom
Ultimate Anchor Charm,0,0,0,0,No Effect,Custom
Ultimate Ancient Charm,900,8,8,8,Insanely Fresh,Always
Ultimate Attraction Charm,0,0,100,0,No Effect,Encounter
Ultimate Charm,0,0,0,0,No Effect,Custom
Ultimate Dragonbane Charm,0,0,0,0,No Effect,Custom
Ultimate Luck Charm,0,0,0,20,No Effect,Encounter
Ultimate Lucky Power Charm,2400,20,0,20,No Effect,Encounter
Ultimate Party Charm,0,24,0,30,No Effect,Encounter
Ultimate Polluted Charm,0,0,0,0,No Effect,Encounter
Ultimate Power Charm,2400,20,0,0,No Effect,Encounter
Ultimate Snowball Charm,800,8,8,20,No Effect,Always
Ultimate Spooky Charm,800,8,8,20,No Effect,Encounter
Ultimate Spore Charm,2000,12,12,10,Insanely Stale,Encounter
Ultimate Wealth Charm,0,0,0,0,No Effect,Successful Catch
Uncharged Scholar Charm,0,0,0,0,No Effect,Custom
Unstable Charm,0,0,0,1,No Effect,Always
Valentine Charm,0,0,25,0,Fresh,Encounter
Warpath Archer Charm,0,0,0,0,No Effect,Custom
Warpath Cavalry Charm,0,0,0,0,No Effect,Custom
Warpath Commander's Charm,0,0,0,0,No Effect,Custom
Warpath Mage Charm,0,0,0,0,No Effect,Custom
Warpath Scout Charm,0,0,0,0,No Effect,Custom
Warpath Warrior Charm,0,0,0,0,No Effect,Custom
Water Jet Charm,0,0,0,0,No Effect,Successful Catch
Wax Charm,150,0,0,0,No Effect,Encounter
Wealth Charm,0,0,0,0,No Effect,Successful Catch
Wild Growth Charm,0,0,0,0,No Effect,Always
Winter Builder Charm,0,0,0,5,No Effect,Encounter
Winter Charm,0,0,0,4,No Effect,Encounter
Winter Hoarder Charm,0,0,0,5,No Effect,Encounter
Winter Miser Charm,0,0,0,5,No Effect,Encounter
Winter Screw Charm,0,0,0,2,No Effect,Encounter
Winter Spring Charm,0,0,0,2,No Effect,Encounter
Winter Wood Charm,0,0,0,2,No Effect,Encounter
Yellow Double Sponge Charm,0,0,0,0,No Effect,Successful Catch
Yellow Sponge Charm,0,0,0,0,No Effect,Successful Catch
